recorder_uuid,age_range,country,province,city,postal_code,gender,occupation,mother_language,birth_country,birth_province,birth_city,grow_up_country,grow_up_province,grow_up_city,years_at_current_location,has_disability,has_speech_impediment,education
1fce9fbb-d887-11ef-b5fc-0242ac120002,30-39,ZA,Gauteng,Johannesburg,1779,female,Unemployed,sot,ZA,gauteng,Westonaria,ZA,gauteng,Westonaria,35,False,False,4
187e279c-e214-11ef-931f-0242ac120004,30-39,ZA,Gauteng,Vereeniging,1983,female,Sales consultant,sot,ZA,gauteng,Vereeniging,ZA,freestate,Sasolburg,6,False,False,2
80f46d6f-e20b-11ef-931f-0242ac120004,30-39,ZA,Gauteng,Soweto,1863,male,Self employed,sot,ZA,gauteng,Soweto,ZA,gauteng,Soweto,31,False,False,2
6ed7c54d-e218-11ef-931f-0242ac120004,18-29,ZA,Free State,Phuthaditjhaba,9870,male,Unemployed,sot,ZA,gauteng,Pretoria,ZA,freestate,Phuthaditjhaba,23,False,False,3
5fdcc13b-e1ff-11ef-883e-0242ac120003,18-29,ZA,Free State,Bohlokong,9701,male,Food preparation and serving,sot,ZA,freestate,Bethlehem,ZA,freestate,Bethlehem,25,False,False,2
1be0b9e6-e218-11ef-931f-0242ac120004,18-29,ZA,Gauteng,Vereeniging,1928,male,Unemployed,sot,ZA,freestate,Welkom,ZA,freestate,Welkom,15,False,True,2
9f4749ac-d7be-11ef-b5fc-0242ac120002,30-39,ZA,Free State,Bloemfontein,9323,female,Unemployed,sot,ZA,freestate,Botshabelo,ZA,freestate,Bloemfontein,8,False,False,4
5ca25143-e1fc-11ef-883e-0242ac120003,30-39,ZA,Eastern Cape,East London,5201,female,unemployed,sot,ZA,eastern_cape,Lady Grey,ZA,eastern_cape,Aliwal North,16,False,False,2
315781a8-d24c-11ef-a0f3-0242ac120002,18-29,ZA,Free State,Bloemfontein,9868,male,Student,sot,ZA,freestate,Qwa Qwa,ZA,freestate,Qwa Qwa,23,False,False,4
521bac83-e218-11ef-931f-0242ac120004,30-39,ZA,Gauteng,Soweto,1852,female,Personal Assistant,sot,ZA,gauteng,Soweto,ZA,gauteng,Meadowlands,33,False,False,3
947b7013-e531-11ef-b500-0242ac120002,40-49,ZA,Gauteng,Lenasia,1841,female,Home maker,sot,LS,,Teyateyaneng,ZA,gauteng,Johannesburg,15,False,False,2
2715f3c7-e87e-11ef-9e0f-0242ac120002,30-39,ZA,Gauteng,Soweto,1852,female,Unemployed,sot,ZA,eastern_cape,Matatiele,ZA,eastern_cape,Matatiele,9,False,False,5
4b636173-e532-11ef-b500-0242ac120002,18-29,ZA,Free State,Bloemfontein,9301,female,Unemployed,sot,ZA,freestate,Welkom,ZA,freestate,Welkom,8,False,False,4
f9415260-ecf5-11ef-aaa8-0242ac120003,30-39,ZA,Gauteng,Boksburg,1459,female,Unemployment,sot,ZA,freestate,Senekal,ZA,freestate,Free State,5,False,False,2
11155726-e532-11ef-b500-0242ac120002,30-39,ZA,Gauteng,Centurion,157,female,Business Intelligence Analyst,sot,ZA,gauteng,Carletonville,ZA,gauteng,Carletonville,3,False,False,6
281972f9-d49e-11ef-a4ef-0242ac120004,30-39,ZA,Gauteng,Johannesburg,1809,female,Admin Clerk,sot,ZA,gauteng,Johannesburg,ZA,gauteng,Johannesburg,8,False,False,4
42428fe3-ef68-11ef-84c3-0242ac120003,40-49,ZA,Gauteng,Johannesburg,1868,female,Self employed,sot,ZA,gauteng,Johannesburg,ZA,gauteng,Johannesburg,49,False,False,2
76483708-e531-11ef-b500-0242ac120002,30-39,ZA,KwaZulu-Natal,Pietermaritzburg,3201,female,Unemployed,sot,LS,,Qachas Nek,LS,,Mafeteng,13,False,False,2
5c1c1503-e85b-11ef-9e0f-0242ac120002,30-39,ZA,Gauteng,Johannesburg,1852,male,DJ,sot,ZA,gauteng,Soweto,ZA,gauteng,Johannesburg,30,False,False,9
08623938-e237-11ef-931f-0242ac120004,30-39,ZA,Gauteng,Vereeniging,1939,male,Freelance writer,sot,ZA,gauteng,Lenasia,ZA,gauteng,Vereeniging,20,False,False,4
8edae1cc-e7a9-11ef-9e0f-0242ac120002,30-39,ZA,Free State,Qwaqwa,9870,female,Unemployed,sot,ZA,freestate,Qwaqwa,ZA,freestate,Qwaqwa,6,False,False,2
861badfa-d8ca-11ef-8d43-0242ac120004,30-39,ZA,Gauteng,Johannesburg,1829,female,Unemployed,sot,ZA,gauteng,Johannesburg,ZA,gauteng,Johannesburg,10,True,False,9
a0c570d6-e2c2-11ef-931f-0242ac120004,30-39,ZA,Free State,Qwaqwa,9869,female,Unemployed,sot,ZA,freestate,Phuthaditjhaba,ZA,freestate,Phuthaditjhaba,35,False,False,2
292c2af0-e2c1-11ef-931f-0242ac120004,18-29,ZA,Gauteng,Krugersdorp,1739,female,Customer service agent,sot,ZA,gauteng,Krugersdorp,ZA,gauteng,Johannesburg,27,False,False,2
1ea42d53-f507-11ef-ac4e-0242ac120005,30-39,ZA,Free State,Welkom,9463,female,Lecturer,sot,ZA,freestate,Welkom,ZA,freestate,Welkom,31,False,False,7
0c445ecd-ee89-11ef-9a96-0242ac120002,40-49,ZA,Gauteng,Boksburg,1459,female,Self employed,sot,ZA,eastern_cape,Sterkspruit,ZA,eastern_cape,Bloemfontein,5,False,False,1
9ee6a870-f33e-11ef-b893-0242ac120002,18-29,ZA,Free State,Bloemfontein,9866,female,Marketing Specialist and Language reviewer,sot,ZA,freestate,Bloemfontein,ZA,freestate,Bloemfontein,28,False,False,4
125f7df2-f278-11ef-bb32-0242ac120002,18-29,ZA,Gauteng,Johannesburg,1818,female,Chat operator,sot,ZA,gauteng,Johannesburg,ZA,gauteng,Johannesburg,29,False,False,2
028f040f-ef68-11ef-84c3-0242ac120003,30-39,ZA,Gauteng,Johannesburg,1852,female,Administrator,sot,ZA,gauteng,Meadowlands,ZA,gauteng,Meadowlands,32,False,False,3
3e7411d2-f59c-11ef-ac4e-0242ac120005,40-49,ZA,Gauteng,Centurion,157,female,Unemployed,sot,ZA,freestate,Ventersburg,ZA,freestate,Ventersburg,13,False,False,6
6369cb39-f28a-11ef-bb32-0242ac120002,18-29,ZA,Gauteng,Johannesburg,1818,female,Unemployed,sot,ZA,gauteng,Johannesburg,ZA,gauteng,Johannesburg,26,False,False,1
ea2232e2-f4d2-11ef-ac4e-0242ac120005,30-39,ZA,Gauteng,Johannesburg,1818,male,Sound engineer,sot,ZA,gauteng,Johannesburg,ZA,gauteng,Johannesburg,32,False,False,2
e5b9c516-ee88-11ef-9a96-0242ac120002,18-29,ZA,Gauteng,Johannesburg,1868,female,Receptionist,sot,ZA,gauteng,Johannesburg,ZA,gauteng,Johannesburg,29,False,False,4
7e5deb13-f59c-11ef-ac4e-0242ac120005,50-59,ZA,North West,Klerksdorp,2571,female,Admin,sot,ZA,north_west,Johannesburg,ZA,gauteng,Johannesburg,3,False,False,4
93e19867-ef77-11ef-84c3-0242ac120003,30-39,ZA,Free State,Bloemfontein,9323,female,Stay home mother,sot,ZA,freestate,Bloemfontein,ZA,freestate,Bloemfontein,15,False,False,3
cce872ad-f33d-11ef-b893-0242ac120002,18-29,ZA,Free State,Bethlehem,9701,female,unemployed,sot,ZA,freestate,Bethlehem,ZA,freestate,Bethlehem,25,False,False,3
31cc38d4-eec7-11ef-9a96-0242ac120002,18-29,ZA,Gauteng,Johannesburg,1841,female,University Student,sot,ZA,gauteng,Johannesburg,ZA,gauteng,Johannesburg,19,False,False,2
d9eff08a-d328-11ef-9c52-0242ac120005,30-39,ZA,Gauteng,Westonaria,1779,female,Self employed,sot,ZA,gauteng,Johannesburg,ZA,gauteng,Johannesburg,34,False,False,2
29f42e00-f340-11ef-b893-0242ac120002,30-39,ZA,Gauteng,Randburg,2188,female,Daycare assistant,sot,ZA,gauteng,Johannesburg,ZA,gauteng,Johannesburg,17,False,False,9
d4e9e886-df99-11ef-898e-0242ac120003,18-29,ZA,Free State,Bloemfontein,9781,female,self-employment,sot,ZA,freestate,Botshabelo,ZA,freestate,Botshabelo,26,False,False,2
4ba6cfe9-d6fd-11ef-8133-0242ac120004,18-29,ZA,Free State,Phuthaditjhaba,9870,female,Unemployed,sot,ZA,freestate,Phuthaditjhaba,ZA,freestate,Phuthaditjhaba,25,False,False,2
a0df37d1-e479-11ef-b971-0242ac120002,18-29,ZA,Gauteng,Soshanguve,152,female,Unemployed,nso,ZA,gauteng,Tembisa,ZA,gauteng,Soshanguve,22,False,False,2
97edbf9e-fa61-11ef-a9a6-0242ac120003,18-29,ZA,Free State,Phuthaditjhaba,9869,female,Unemployed,sot,ZA,north_west,Klerksdorp,ZA,freestate,Phuthaditjhaba,3,False,False,5
5e911dcf-f4d3-11ef-ac4e-0242ac120005,40-49,ZA,Free State,Kroonstad,9499,female,Self employed,sot,ZA,freestate,Kroonstad,ZA,freestate,Kroonstad,40,False,False,2
834129f3-f276-11ef-bb32-0242ac120002,18-29,ZA,Free State,Sasolburg,1949,female,Fashion consultant,sot,ZA,freestate,Sasolburg,ZA,freestate,Sasolburg,27,False,False,3
ee1fb2f8-f5b9-11ef-a286-0242ac120002,18-29,ZA,Free State,Welkom,9459,female,Student,sot,ZA,freestate,Wesselsbron,ZA,freestate,Wesselsbron,4,False,False,3
e1e0b381-f276-11ef-bb32-0242ac120002,40-49,ZA,Gauteng,Westonaria,1779,female,Home maker,sot,ZA,gauteng,Soweto,ZA,gauteng,Soweto,15,False,False,2
16175053-f7f7-11ef-bf9c-0242ac120002,18-29,ZA,North West,Rustenburg,299,female,Student,sot,ZA,north_west,Klerksdorp,ZA,north_west,Rustenburg,24,False,False,4
e4409979-f7f7-11ef-bf9c-0242ac120002,30-39,ZA,Gauteng,Johannesburg,2094,female,Unemployed,sot,ZA,freestate,Qwaqwa,ZA,freestate,Qwaqwa,14,False,False,2
2243e9e2-f9b1-11ef-a9a6-0242ac120003,50-59,ZA,Gauteng,Alberton,1458,male,Self employed,sot,ZA,gauteng,Soweto,ZA,gauteng,Bethlehem,8,False,False,4
e69f9eb4-f7f6-11ef-bf9c-0242ac120002,40-49,ZA,Free State,Witsieshoek,9870,female,Unemployed,sot,ZA,freestate,Phuthaditjhaba,ZA,freestate,Phuthaditjhaba,40,False,False,2
759f243a-fe41-11ef-a4e6-0242ac120005,30-39,ZA,Free State,Kroonstad,9499,female,Freelance Language Practitioner,sot,ZA,freestate,Welkom,ZA,freestate,Kroonstad,13,False,False,6
c7350fbd-f7f5-11ef-bf9c-0242ac120002,50-59,ZA,Gauteng,Pretoria,182,female,Unemployed,sot,ZA,gauteng,Gauteng,LS,gauteng,Maseru,10,False,False,6
a7153de4-f8dc-11ef-a9a6-0242ac120003,18-29,ZA,Free State,Welkom,9478,female,Unemployed,sot,ZA,freestate,Senekal,ZA,freestate,Senekal,4,False,False,2
2cd1ad4e-f8be-11ef-a361-0242ac120003,18-29,ZA,Free State,Senekal,9600,male,Student,sot,ZA,freestate,Senekal,ZA,freestate,Senekal,25,False,False,9
def3b1ca-fa61-11ef-a9a6-0242ac120003,18-29,ZA,Free State,Senekal,9600,female,Student,sot,ZA,freestate,Bethlehem,ZA,freestate,Senekal,19,False,False,4
29712dfa-f278-11ef-bb32-0242ac120002,30-39,ZA,Gauteng,Johannesburg,1818,female,Entrepreneur,sot,ZA,gauteng,Johannesburg,ZA,gauteng,Johannesburg,33,True,False,2
0fcc307c-f27b-11ef-bb32-0242ac120002,30-39,ZA,Free State,Reddersburg,9904,female,Unemployed,sot,ZA,freestate,Bloemfontein,ZA,freestate,Reddersburg,16,False,False,2
aa6c932c-00a1-11f0-9dd7-0242ac120004,30-39,ZA,Free State,Sasolburg,1947,female,Financial Advisor,sot,ZA,freestate,Senekal,ZA,freestate,Senekal,2,False,False,3
